Id,SalePrice
1461,123674.69
1462,152791.75
1463,177857.08
1464,180226.92
1465,189155.06
1466,176248.3
1467,167900.73
1468,164674.64
1469,190699.95
1470,124285.836
1471,207046.7
1472,96763.57
1473,94755.05
1474,157497.14
1475,136803.14
1476,399227.0
1477,260588.48
1478,296632.34
1479,261810.86
1480,501721.88
1481,318164.56
1482,213110.55
1483,163191.73
1484,171109.92
1485,179128.11
1486,191474.73
1487,338531.3
1488,235385.39
1489,204943.75
1490,221934.39
1491,191443.42
1492,86220.36
1493,197906.58
1494,294423.75
1495,291008.66
1496,229406.52
1497,182376.6
1498,168198.72
1499,169879.06
1500,148119.72
1501,164134.55
1502,163731.28
1503,282709.16
1504,225652.47
1505,223041.38
1506,187979.92
1507,238633.2
1508,195214.44
1509,158339.6
1510,145614.2
1511,141228.95
1512,174407.38
1513,151622.23
1514,172699.62
1515,189527.64
1516,168588.67
1517,158017.1
1518,133696.17
1519,227101.1
1520,131916.77
1521,132919.2
1522,174038.03
1523,106118.07
1524,127944.84
1525,126443.85
1526,127361.125
1527,105470.34
1528,136090.89
1529,150018.7
1530,177353.48
1531,103715.17
1532,101236.375
1533,148139.55
1534,118955.195
1535,153108.11
1536,110224.12
1537,81409.875
1538,182885.75
1539,212550.53
1540,90847.8
1541,141973.23
1542,138689.33
1543,227485.86
1544,78296.234
1545,111122.69
1546,128972.53
1547,131731.89
1548,134914.83
1549,113629.164
1550,138537.48
1551,121333.266
1552,129183.555
1553,156184.7
1554,107222.36
1555,166180.02
1556,76705.85
1557,113062.07
1558,97569.67
1559,90984.82
1560,143699.48
1561,132123.17
1562,130108.34
1563,125147.25
1564,157204.11
1565,147036.95
1566,223519.77
1567,72069.41
1568,219643.42
1569,131778.39
1570,136321.36
1571,127041.24
1572,150312.64
1573,242920.77
1574,125239.3
1575,229694.0
1576,219920.0
1577,195857.7
1578,153171.2
1579,149373.98
1580,191882.2
1581,148856.64
1582,130613.08
1583,348828.62
1584,226925.31
1585,138415.31
1586,82685.516
1587,103794.91
1588,145933.95
1589,101988.56
1590,137892.83
1591,97716.484
1592,118856.11
1593,136625.88
1594,128298.16
1595,113756.12
1596,231612.12
1597,181407.7
1598,205362.52
1599,194270.23
1600,191093.58
1601,80386.62
1602,115207.98
1603,97046.65
1604,280599.5
1605,244876.16
1606,160013.78
1607,169777.58
1608,218470.48
1609,195838.73
1610,151669.17
1611,145084.25
1612,169849.56
1613,164738.33
1614,121607.54
1615,93748.55
1616,73605.69
1617,97281.82
1618,128926.45
1619,141443.34
1620,150590.14
1621,133433.45
1622,141629.17
1623,301138.88
1624,208643.0
1625,133856.9
1626,174813.38
1627,185844.25
1628,281833.7
1629,183324.83
1630,404634.78
1631,230786.03
1632,250602.39
1633,173298.64
1634,177569.39
1635,180120.03
1636,153666.67
1637,185148.89
1638,214876.77
1639,186514.22
1640,259578.48
1641,179717.25
1642,215216.03
1643,217406.62
1644,216100.53
1645,182792.2
1646,155051.3
1647,166409.78
1648,131065.57
1649,140143.44
1650,121350.27
1651,127617.03
1652,100483.195
1653,100622.34
1654,151836.7
1655,159875.92
1656,152241.3
1657,152145.33
1658,148521.95
1659,145067.05
1660,148109.44
1661,457671.47
1662,444286.1
